INCIDENT_ID,DATE,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,MULTIPLE_OFFENSE
CR_102659,04-JUL-04,0,36,34,2,1,5,6,1,6,1,174,1.0,92,29,36,0
CR_189752,18-JUL-17,1,37,37,0,0,11,17,1,6,1,236,1.0,103,142,34,1
CR_184637,15-MAR-17,0,3,2,3,5,1,0,2,3,1,174,1.0,110,93,34,1
CR_139071,13-FEB-09,0,33,32,2,1,7,1,1,6,1,249,1.0,72,29,34,1
CR_109335,13-APR-05,0,33,32,2,1,8,3,0,5,1,174,0.0,112,29,43,1
CR_96263,07-APR-03,0,45,45,10,3,1,0,1,6,1,303,1.0,72,62,34,1
CR_131400,22-JAN-08,0,30,35,7,3,7,1,0,5,1,174,0.0,112,29,43,1
CR_11981,14-MAY-93,0,8,7,7,3,9,8,0,5,1,316,1.0,72,62,34,1
CR_184134,21-AUG-16,0,49,49,6,5,8,3,1,1,1,316,1.0,103,14,34,1
CR_32634,25-AUG-96,1,4,4,6,5,15,10,0,5,2,145,1.0,103,29,34,0
CR_83843,18-SEP-02,1,4,4,6,5,15,10,1,6,1,174,1.0,103,130,34,1
CR_7439,04-MAR-92,0,33,32,2,1,5,6,0,5,1,174,0.0,72,93,48,1
CR_192564,09-JAN-18,0,4,4,6,5,5,6,0,5,3,174,3.0,42,29,34,1
CR_148567,03-DEC-11,1,4,4,6,5,15,10,0,5,1,174,0.0,18,133,46,1
CR_106537,23-NOV-05,0,7,8,7,3,2,7,3,2,1,316,1.0,72,62,34,1
CR_38406,07-MAR-96,0,36,34,2,1,4,2,1,6,1,249,1.0,92,29,34,1
CR_131018,24-JAN-08,0,25,25,9,0,4,2,2,6,1,0,1.0,72,29,34,1
CR_2678,20-AUG-91,0,36,34,2,1,1,0,1,2,1,0,1.0,92,142,34,1
CR_140183,31-AUG-09,1,37,37,0,0,11,17,0,5,1,174,1.0,103,115,34,1
CR_11185,15-OCT-93,0,3,2,3,5,1,0,1,6,1,249,1.0,2,29,34,1
CR_6085,08-MAR-92,0,21,23,4,1,5,6,1,6,1,174,0.0,18,53,46,1
